Hour,Average Value
0,49.905670275168255
1,50.029189439913004
2,49.954560702582185
3,50.090336024184154
4,49.91230516127859
5,49.96279489129477
6,50.174313233754724
7,50.00774313673618
8,49.94735583726727
9,50.10101514467467
10,50.07943802964102
11,50.14798817943593
12,49.91667494860804
13,49.93565098085803
14,50.10550505509781
15,49.91448948194099
16,50.109085360449086
17,50.097553473720055
18,50.02336835643961
19,50.12651208772324
20,50.024093121197886
21,49.97981787508969
22,50.057026916627336
23,49.977901632858035
